Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Critic_Score,Critic_Count,User_Score,User_Count,Developer
XB,Microsoft,2002,Activision,0.42,0.11,0.02,0.02,0.57,74.0,36.0,5.2,13.0,Bunkasha Publishing
X360,Microsoft,2013,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,27.0,7.2,249.0,Trion Worlds
PS3,Sony,2011,Nippon Ichi Software,0.27,0.11,0.14,0.05,0.57,80.0,39.0,7.8,126.0,Nippon Ichi Software
XB,Microsoft,2003,THQ,0.45,0.1,0.0,0.02,0.57,70.0,8.0,8.9,17.0,Heavy Iron Studios
PS3,Sony,2012,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,67.0,16.0,6.4,107.0,id Software
X360,Microsoft,2007,Activision,0.49,0.04,0.0,0.04,0.57,63.0,61.0,7.0,53.0,Treyarch
PSP,Sony,2011,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,74.0,4.0,6.3,8.0,Konami
Wii,Nintendo,2009,Sega,0.28,0.23,0.0,0.06,0.57,69.0,79.0,8.2,258.0,High Voltage Software
WiiU,Nintendo,2015,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,7.0,6.9,11.0,Ubisoft
X360,Microsoft,2011,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,66.0,31.0,5.3,13.0,Eurocom Entertainment Software
