Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Critic_Score,Critic_Count,User_Score,User_Count,Developer
PS2,Sony,2004,THQ,0.3,0.24,0.0,0.08,0.62,71.0,31.0,8.0,10.0,Avalanche Software
PS3,Sony,2011,Ubisoft,0.33,0.2,0.0,0.09,0.62,75.0,5.0,6.0,7.0,Ubisoft
3DS,Nintendo,2011,Disney Interactive Studios,0.29,0.27,0.0,0.06,0.62,71.0,16.0,7.3,20.0,Traveller's Tales
Wii,Nintendo,2007,Nintendo,0.19,0.26,0.11,0.06,0.62,46.0,34.0,6.8,26.0,Paon Corporation
GC,Nintendo,2003,Capcom,0.38,0.1,0.12,0.02,0.62,93.0,52.0,8.3,115.0,Clover Studio
GBA,Nintendo,2004,Electronic Arts,0.37,0.22,0.0,0.03,0.62,72.0,6.0,9.2,25.0,Griptonite Games
PS3,Sony,2009,Activision,0.28,0.24,0.0,0.1,0.62,86.0,44.0,8.0,48.0,Neversoft Entertainment
PS2,Sony,2004,Play It,0.3,0.24,0.0,0.08,0.62,48.0,14.0,6.8,4.0,Lab Rats Games
Wii,Nintendo,2010,Ubisoft,0.35,0.2,0.01,0.06,0.62,80.0,73.0,8.6,178.0,Ubisoft Paris
PS2,Sony,2004,Eidos Interactive,0.3,0.24,0.0,0.08,0.62,68.0,23.0,8.6,8.0,Acclaim Studios Cheltenham
XOne,Microsoft,2016,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62,67.0,20.0,4.6,274.0,Hangar 13
X360,Microsoft,2010,Ubisoft,0.3,0.26,0.0,0.06,0.62,74.0,69.0,7.8,112.0,Ubisoft Montreal
PS3,Sony,2011,Ubisoft Annecy,0.0,0.04,0.57,0.01,0.62,70.0,17.0,7.9,35.0,Omega Force
Wii,Nintendo,2010,Activision,0.48,0.09,0.0,0.04,0.62,88.0,20.0,7.5,17.0,FreeStyleGames
X360,Microsoft,2011,Electronic Arts,0.4,0.16,0.0,0.05,0.62,80.0,50.0,6.1,25.0,Electronic Arts
X360,Microsoft,2008,THQ,0.29,0.26,0.0,0.07,0.62,50.0,32.0,6.3,6.0,Heavy Iron Studios
DS,Nintendo,2009,Electronic Arts,0.2,0.34,0.0,0.07,0.61,48.0,9.0,4.3,7.0,EA Bright Light
PS3,Sony,2010,Square Enix,0.17,0.18,0.2,0.07,0.61,68.0,58.0,8.4,263.0,Cavia Inc.
PS3,Sony,2014,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada
PS3,Sony,2008,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,82.0,30.0,7.0,37.0,Visual Concepts
XB,Microsoft,2002,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.61,72.0,25.0,8.6,12.0,Microsoft Game Studios
PS2,Sony,2006,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,58.0,26.0,8.8,13.0,Omega Force
PS3,Sony,2009,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61,70.0,61.0,6.4,55.0,Artificial Mind and Movement
3DS,Nintendo,2011,505 Games,0.5,0.07,0.0,0.05,0.61,56.0,6.0,6.0,7.0,Cooking Mama Limited
3DS,Nintendo,2012,Warner Bros. Interactive Entertainment,0.56,0.01,0.0,0.05,0.61,73.0,13.0,7.4,21.0,5TH Cell
DS,Nintendo,2008,Nintendo,0.29,0.02,0.27,0.03,0.61,81.0,42.0,7.0,106.0,Intelligent Systems
PS4,Sony,2014,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,23.0,7.6,259.0,PopCap
Wii,Nintendo,2009,Nintendo,0.42,0.05,0.0,0.14,0.61,91.0,48.0,9.3,316.0,Retro Studios
PS2,Sony,2002,TDK Mediactive,0.3,0.23,0.0,0.08,0.61,72.0,20.0,8.5,8.0,Vicious Cycle
PS3,Sony,2011,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,70.0,29.0,6.9,13.0,Eurocom Entertainment Software
PSP,Sony,2009,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61,71.0,47.0,6.3,28.0,High Impact Games
GBA,Nintendo,2004,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61,49.0,7.0,6.8,6.0,Skyworks Technologies
PS2,Sony,2003,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,81.0,29.0,8.1,12.0,Namco
PS3,Sony,2010,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304.0,PlatinumGames
PSV,Sony,2013,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,82.0,8.9,391.0,Media Molecule
XB,Microsoft,2005,Electronic Arts,0.37,0.21,0.0,0.03,0.61,90.0,35.0,8.6,115.0,Valve Software
X360,Microsoft,2009,Activision,0.46,0.1,0.0,0.05,0.61,46.0,43.0,3.0,67.0,Robomodo
PS3,Sony,2014,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0,2K Australia
X360,Microsoft,2008,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,70.0,28.0,5.9,34.0,Kush Games
PS3,Sony,2009,Deep Silver,0.22,0.22,0.08,0.09,0.61,70.0,45.0,7.1,51.0,"Ascaron Entertainment GmbH, Ascaron Entertainment"
X360,Microsoft,2010,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,79.0,43.0,5.9,33.0,Konami
X360,Microsoft,2009,Spike,0.56,0.0,0.0,0.05,0.61,64.0,29.0,5.3,26.0,2K Sports
GBA,Nintendo,2005,Nintendo,0.27,0.1,0.22,0.01,0.61,85.0,30.0,7.3,70.0,TOSE
PS3,Sony,2011,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,Spike
GBA,Nintendo,2005,Electronic Arts,0.44,0.16,0.0,0.01,0.61,71.0,9.0,6.0,8.0,Magic Pockets
GBA,Nintendo,2004,Atari,0.44,0.16,0.0,0.01,0.61,62.0,19.0,8.9,39.0,Webfoot Technologies
GBA,Nintendo,2001,Activision,0.43,0.16,0.0,0.01,0.61,84.0,8.0,8.7,11.0,Vicarious Visions
DS,Nintendo,2009,Electronic Arts,0.25,0.29,0.0,0.07,0.61,67.0,11.0,7.3,4.0,EA Games
PS2,Sony,2003,Atari,0.5,0.02,0.0,0.08,0.61,75.0,34.0,7.7,35.0,CyberConnect2
Wii,Nintendo,2010,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,59.0,14.0,5.9,8.0,TOSE
GBA,Nintendo,2003,Activision,0.43,0.16,0.0,0.01,0.6,86.0,9.0,7.7,9.0,Vicarious Visions
PS2,Sony,2005,Sega,0.5,0.02,0.0,0.08,0.6,45.0,28.0,6.0,137.0,Sonic Team
GC,Nintendo,2001,Nintendo,0.4,0.1,0.09,0.02,0.6,80.0,21.0,8.3,29.0,Nintendo
PS3,Sony,2013,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software
PS2,Sony,2003,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,51.0,24.0,7.8,29.0,Paradox Development
PS3,Sony,2011,Sega,0.09,0.06,0.42,0.03,0.6,64.0,55.0,7.4,69.0,Ryu ga Gotoku Studios
XB,Microsoft,2005,Electronic Arts,0.42,0.16,0.0,0.02,0.6,88.0,48.0,8.8,27.0,EA Sports
PS3,Sony,2013,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,25.0,5.9,140.0,Techland
XOne,Microsoft,2014,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,53.0,5.1,144.0,Microsoft Game Studios
PS2,Sony,2007,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,72.0,7.0,6.0,9.0,Visual Concepts
PS3,Sony,2013,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,8.5,75.0,Omega Force
WiiU,Nintendo,2013,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,10.0,7.6,58.0,Avalanche Software
PS2,Sony,2009,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,61.0,9.0,6.7,14.0,Sanzaru Games
X360,Microsoft,2009,Ubisoft,0.3,0.24,0.0,0.06,0.6,77.0,77.0,7.6,94.0,Techland
X360,Microsoft,2010,Ubisoft,0.31,0.23,0.0,0.06,0.6,32.0,38.0,4.6,23.0,Ubisoft
PS2,Sony,2001,Ubisoft,0.29,0.23,0.0,0.08,0.6,63.0,10.0,8.6,8.0,Ubisoft
PS2,Sony,2006,THQ,0.5,0.02,0.0,0.08,0.6,52.0,29.0,7.5,39.0,Appaloosa Interactive
PS2,Sony,2001,Vivendi Games,0.29,0.23,0.0,0.08,0.6,87.0,24.0,8.6,94.0,Gearbox Software
X360,Microsoft,2010,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.6,82.0,78.0,8.1,101.0,Black Rock Studio
DS,Nintendo,2007,Sega,0.28,0.25,0.0,0.06,0.6,43.0,7.0,4.9,8.0,Artificial Mind and Movement
Wii,Nintendo,2009,Rising Star Games,0.32,0.12,0.11,0.04,0.6,81.0,58.0,8.7,101.0,Vanillaware
Wii,Nintendo,2008,Capcom,0.43,0.09,0.04,0.05,0.6,90.0,44.0,8.9,236.0,Ready at Dawn
PS4,Sony,2014,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,47.0,6.6,88.0,TT Games
PS4,Sony,2016,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's
WiiU,Nintendo,2013,Ubisoft,0.31,0.23,0.0,0.05,0.6,72.0,13.0,7.6,45.0,Ubisoft
PS4,Sony,2014,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,28.0,3.6,306.0,EA Sports
PC,Microsoft,2011,Sega,0.19,0.31,0.0,0.09,0.6,90.0,62.0,8.3,1180.0,Creative Assembly
DS,Nintendo,2007,Electronic Arts,0.33,0.02,0.21,0.03,0.6,69.0,27.0,6.3,18.0,Aki Corp.
PS2,Sony,2004,THQ,0.29,0.23,0.0,0.08,0.59,62.0,8.0,8.1,8.0,Climax Group
X360,Microsoft,2008,Electronic Arts,0.34,0.2,0.0,0.06,0.59,56.0,9.0,5.8,17.0,EA Bright Light
PS3,Sony,2009,Activision,0.38,0.14,0.0,0.07,0.59,44.0,29.0,2.1,31.0,Robomodo
GC,Nintendo,2002,Electronic Arts,0.46,0.12,0.0,0.02,0.59,80.0,16.0,7.9,16.0,Dreamworks Games
PC,Microsoft,2008,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,28.0,8.0,1093.0,EA Redwood Shores
PS3,Sony,2010,Electronic Arts,0.4,0.12,0.0,0.07,0.59,88.0,38.0,7.1,54.0,Electronic Arts
PS3,Sony,2012,Sega,0.0,0.0,0.59,0.0,0.59,83.0,34.0,8.5,180.0,Ryu ga Gotoku Studios
PS2,Sony,2002,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0,EA Sports
XB,Microsoft,2004,Electronic Arts,0.44,0.13,0.0,0.02,0.59,90.0,31.0,8.5,19.0,EA Sports
GC,Nintendo,2002,Universal Interactive,0.46,0.12,0.0,0.02,0.59,62.0,11.0,7.3,22.0,Traveller's Tales
XOne,Microsoft,2015,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,18.0,5.7,75.0,Yuke's
PC,Microsoft,2011,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.2,1102.0,Ubisoft Montreal
XB,Microsoft,2003,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,73.0,42.0,7.8,47.0,Team Ninja
PS2,Sony,2010,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,77.0,8.0,6.8,82.0,Climax Group
X360,Microsoft,2010,Activision,0.25,0.27,0.0,0.06,0.59,82.0,78.0,8.3,169.0,Bizarre Creations
DS,Nintendo,2004,Ubisoft,0.31,0.22,0.0,0.06,0.59,60.0,38.0,7.5,13.0,Gameloft
PS2,Sony,2004,Capcom,0.29,0.22,0.0,0.08,0.59,81.0,26.0,9.0,20.0,Atomic Planet Entertainment
PS3,Sony,2014,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,66.0,5.0,5.9,242.0,Kojima Productions
GBA,Nintendo,2003,Ubisoft,0.34,0.13,0.11,0.01,0.59,81.0,25.0,9.6,116.0,TOSE
X360,Microsoft,2008,Ubisoft,0.24,0.28,0.0,0.06,0.59,80.0,34.0,7.8,46.0,Ubisoft Montreal
DS,Nintendo,2009,Nintendo,0.17,0.18,0.2,0.04,0.59,82.0,53.0,8.7,39.0,Intelligent Systems
Wii,Nintendo,2008,Sega,0.3,0.22,0.0,0.06,0.59,44.0,14.0,7.0,8.0,Artificial Mind and Movement
PS3,Sony,2010,Sony Computer Entertainment,0.29,0.21,0.0,0.09,0.59,48.0,39.0,7.5,77.0,Coldwood Interactive
PS2,Sony,2003,Capcom,0.22,0.17,0.14,0.06,0.58,58.0,30.0,5.1,38.0,"Valuewave Co.,Ltd."
PC,Microsoft,2011,Square Enix,0.25,0.25,0.0,0.08,0.58,90.0,52.0,8.5,3069.0,Nixxes Software
PSP,Sony,2007,Square Enix,0.39,0.02,0.13,0.04,0.58,67.0,34.0,7.7,47.0,TOSE
X360,Microsoft,2012,Namco Bandai Games,0.39,0.13,0.02,0.04,0.58,77.0,56.0,6.2,124.0,Project Soul
PS2,Sony,2005,Square Enix,0.06,0.04,0.47,0.01,0.58,58.0,23.0,8.0,35.0,Square Enix
X360,Microsoft,2008,Ubisoft,0.18,0.34,0.0,0.07,0.58,55.0,50.0,6.4,58.0,Ubisoft Montreal
Wii,Nintendo,2008,Take-Two Interactive,0.15,0.37,0.0,0.07,0.58,68.0,18.0,5.7,29.0,Pam Development
X360,Microsoft,2010,Warner Bros. Interactive Entertainment,0.36,0.17,0.0,0.05,0.58,33.0,6.0,3.7,9.0,Farsight Studios
PS2,Sony,2004,Electronic Arts,0.49,0.02,0.0,0.08,0.58,73.0,35.0,8.2,60.0,EA Games
DS,Nintendo,2010,Activision,0.5,0.04,0.0,0.04,0.58,74.0,13.0,6.0,54.0,n-Space
PS3,Sony,2008,Electronic Arts,0.54,0.0,0.0,0.04,0.58,81.0,20.0,7.3,25.0,EA Tiburon
PS3,Sony,2011,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,90.0,30.0,7.8,87.0,SCEA San Diego Studios
