Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
GBA,Nintendo,2005,Zoo Digital Publishing,0.1,0.04,0.0,0.0,0.13,DSI Games
DS,Nintendo,2010,Spike,0.0,0.0,0.13,0.0,0.13,Other
DS,Nintendo,2010,City Interactive,0.12,0.01,0.0,0.01,0.13,City Interactive
PS,Sony,1995,Sony Computer Entertainment,0.0,0.0,0.13,0.01,0.13,Other
DS,Nintendo,2008,Ubisoft,0.12,0.0,0.0,0.01,0.13,"Ubisoft, Moss"
PSV,Sony,2016,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,Other
PS2,Sony,2005,Bethesda Softworks,0.07,0.05,0.0,0.02,0.13,Other
X360,Microsoft,2011,505 Games,0.1,0.02,0.0,0.01,0.13,Panic Button
XB,Microsoft,2004,THQ,0.1,0.03,0.0,0.0,0.13,Avalanche Software
Wii,Nintendo,2008,THQ,0.12,0.0,0.0,0.01,0.13,Other
DS,Nintendo,2005,Atari,0.12,0.0,0.0,0.01,0.13,Taniko
3DS,Nintendo,2011,Ubisoft,0.1,0.02,0.0,0.01,0.13,Ubisoft Sofia
DS,Nintendo,2005,Electronic Arts,0.11,0.02,0.0,0.01,0.13,EA Canada
PSP,Sony,2008,Ubisoft,0.12,0.0,0.0,0.01,0.13,Ubisoft
PS2,Sony,2005,Konami Digital Entertainment,0.07,0.05,0.0,0.02,0.13,Falcom
PS3,Sony,2016,Square Enix,0.0,0.0,0.13,0.0,0.13,Other
PC,Microsoft,2010,Electronic Arts,0.01,0.1,0.0,0.02,0.13,Other
PS,Sony,1997,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13,Other
X360,Microsoft,2010,Focus Home Interactive,0.11,0.02,0.0,0.01,0.13,Larian Studios
PS2,Sony,2007,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.13,SCEE London Studio
Wii,Nintendo,2011,THQ,0.07,0.05,0.0,0.01,0.13,Other
X360,Microsoft,2007,Take-Two Interactive,0.11,0.01,0.0,0.01,0.13,Kush Games
PSV,Sony,2015,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,Other
Wii,Nintendo,2010,Atari,0.12,0.0,0.0,0.01,0.13,"Atari, Atari SA"
DS,Nintendo,2008,D3Publisher,0.11,0.02,0.0,0.01,0.13,"Pam Development, 2K Sports"
DS,Nintendo,2008,Mindscape,0.1,0.02,0.0,0.01,0.13,"Microids, Dreamcatcher"
PS,Sony,2000,Midway Games,0.07,0.05,0.0,0.01,0.13,Other
DS,Nintendo,2009,Zoo Digital Publishing,0.12,0.0,0.0,0.01,0.13,Infinite Interactive
PSV,Sony,2013,Compile Heart,0.05,0.0,0.07,0.01,0.13,Other
XOne,Microsoft,2016,Square Enix,0.09,0.03,0.0,0.01,0.13,DONTNOD Entertainment
DS,Nintendo,2011,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,Other
PS2,Sony,2008,Take-Two Interactive,0.07,0.05,0.0,0.02,0.13,Visual Concepts
PS2,Sony,2008,Atlus,0.07,0.05,0.0,0.02,0.13,Atlus Co.
XB,Microsoft,2003,Kemco,0.1,0.03,0.0,0.0,0.13,Bits Studios
PS,Sony,2001,Midway Games,0.07,0.05,0.0,0.01,0.13,Eurocom Entertainment Software
X360,Microsoft,2008,Activision,0.12,0.0,0.0,0.01,0.13,Other
PS2,Sony,2011,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,SCEA San Diego Studios
PS,Sony,1998,THQ,0.07,0.05,0.0,0.01,0.13,Other
PS3,Sony,2009,SouthPeak Games,0.07,0.03,0.02,0.01,0.13,Gaijin Entertainment
3DS,Nintendo,2014,Activision,0.08,0.04,0.0,0.01,0.13,WayForward
PS2,Sony,2001,3DO,0.06,0.05,0.0,0.02,0.13,3DO
XB,Microsoft,2004,Ubisoft,0.1,0.03,0.0,0.0,0.13,Ubisoft
DS,Nintendo,2007,Sega,0.12,0.0,0.0,0.01,0.13,Sega
DS,Nintendo,2008,Atari,0.12,0.0,0.0,0.01,0.13,Other
PSP,Sony,2008,Zushi Games,0.11,0.0,0.01,0.02,0.13,Other
DS,Nintendo,2008,Tecmo Koei,0.08,0.0,0.05,0.01,0.13,Cing
DS,Nintendo,2005,Ubisoft,0.12,0.0,0.0,0.01,0.13,Ubisoft Casablanca
XB,Microsoft,2002,Atari,0.1,0.03,0.0,0.0,0.13,Circus Freak
Wii,Nintendo,2006,Nintendo,0.08,0.02,0.03,0.01,0.13,Hudson
PSP,Sony,2010,Acquire,0.0,0.0,0.13,0.0,0.13,Other
PS,Sony,2000,Ubisoft,0.07,0.05,0.0,0.01,0.13,Other
GC,Nintendo,2002,Electronic Arts,0.1,0.03,0.0,0.0,0.13,EA Sports
PS,Sony,2000,Eidos Interactive,0.07,0.05,0.0,0.01,0.13,Blitz Games
PSV,Sony,2013,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.03,0.13,Other
X360,Microsoft,2007,Tecmo Koei,0.12,0.0,0.0,0.01,0.13,Koei
DS,Nintendo,2006,Activision,0.12,0.0,0.0,0.01,0.13,Other
Wii,Nintendo,2009,Nippon Ichi Software,0.12,0.0,0.01,0.01,0.13,Nippon Ichi Software
PS3,Sony,2008,Take-Two Interactive,0.11,0.01,0.0,0.01,0.13,Visual Concepts
SAT,Sega,1997,Sega,0.0,0.0,0.13,0.0,0.13,Other
PSP,Sony,2011,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,Other
PSP,Sony,2012,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,Other
GBA,Nintendo,2004,THQ,0.09,0.04,0.0,0.0,0.13,Natsume
DS,Nintendo,2006,Sega,0.0,0.0,0.13,0.0,0.13,Other
