Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
Wii,Nintendo,2006,Nintendo,41.36,28.96,3.77,8.45,82.53,Nintendo
NES,Nintendo,1985,Nintendo,29.08,3.58,6.81,0.77,40.24,Other
Wii,Nintendo,2008,Nintendo,15.68,12.76,3.79,3.29,35.52,Nintendo
Wii,Nintendo,2009,Nintendo,15.61,10.93,3.28,2.95,32.77,Nintendo
GB,Nintendo,1996,Nintendo,11.27,8.89,10.22,1.0,31.37,Other
GB,Nintendo,1989,Nintendo,23.2,2.26,4.22,0.58,30.26,Other
DS,Nintendo,2006,Nintendo,11.28,9.14,6.5,2.88,29.8,Nintendo
Wii,Nintendo,2006,Nintendo,13.96,9.18,2.93,2.84,28.92,Nintendo
Wii,Nintendo,2009,Nintendo,14.44,6.94,4.7,2.24,28.32,Nintendo
NES,Nintendo,1984,Nintendo,26.93,0.63,0.28,0.47,28.31,Other
DS,Nintendo,2005,Nintendo,9.05,10.95,1.93,2.74,24.67,Other
DS,Nintendo,2005,Nintendo,9.71,7.47,4.13,1.9,23.21,Nintendo
GB,Nintendo,1999,Nintendo,9.0,6.18,7.2,0.71,23.1,Other
Wii,Nintendo,2007,Nintendo,8.92,8.03,3.6,2.15,22.7,Nintendo
X360,Microsoft,2010,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,Good Science Studio
Wii,Nintendo,2009,Nintendo,9.01,8.49,2.53,1.77,21.79,Nintendo
PS3,Sony,2013,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,Rockstar North
PS2,Sony,2004,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Rockstar North
SNES,Nintendo,1990,Nintendo,12.78,3.75,3.54,0.55,20.61,Other
DS,Nintendo,2005,Nintendo,4.74,9.2,4.16,2.04,20.15,Nintendo
DS,Nintendo,2006,Nintendo,6.38,4.46,6.04,1.36,18.25,Other
GB,Nintendo,1989,Nintendo,10.83,2.71,4.18,0.42,18.14,Other
NES,Nintendo,1988,Nintendo,9.54,3.44,3.84,0.46,17.28,Other
X360,Microsoft,2013,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,Rockstar North
PS2,Sony,2002,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,Rockstar North
GBA,Nintendo,2002,Nintendo,6.06,3.9,5.38,0.5,15.85,Other
DS,Nintendo,2005,Nintendo,3.43,5.35,5.32,1.18,15.29,Nintendo
DS,Nintendo,2010,Nintendo,5.51,3.17,5.65,0.8,15.14,Other
PS2,Sony,2001,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,Polyphony Digital
X360,Microsoft,2011,Activision,9.04,4.24,0.13,1.32,14.73,"Infinity Ward, Sledgehammer Games"
GB,Nintendo,1998,Nintendo,5.89,5.04,3.12,0.59,14.64,Other
PS4,Sony,2015,Activision,6.03,5.86,0.36,2.38,14.63,Other
X360,Microsoft,2010,Activision,9.7,3.68,0.11,1.13,14.61,Treyarch
3DS,Nintendo,2013,Nintendo,5.28,4.19,4.35,0.78,14.6,Other
PS3,Sony,2012,Activision,4.99,5.73,0.65,2.42,13.79,Treyarch
X360,Microsoft,2012,Activision,8.25,4.24,0.07,1.12,13.67,Treyarch
X360,Microsoft,2009,Activision,8.52,3.59,0.08,1.28,13.47,Infinity Ward
PS3,Sony,2011,Activision,5.54,5.73,0.49,1.57,13.32,"Infinity Ward, Sledgehammer Games"
PS2,Sony,2001,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,DMA Design
Wii,Nintendo,2008,Nintendo,6.62,2.55,2.66,1.01,12.84,Game Arts
3DS,Nintendo,2011,Nintendo,5.03,4.02,2.69,0.91,12.66,"Retro Studios, Entertainment Analysis & Development Division"
PS3,Sony,2010,Activision,5.99,4.37,0.48,1.79,12.63,Treyarch
PS4,Sony,2014,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,Rockstar North
DS,Nintendo,2005,Nintendo,2.5,3.45,5.33,0.86,12.13,Nintendo
X360,Microsoft,2007,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,"Bungie Software, Bungie"
N64,Nintendo,1996,Nintendo,6.91,2.85,1.91,0.23,11.89,Other
DS,Nintendo,2009,Nintendo,4.34,2.71,3.96,0.76,11.77,Other
3DS,Nintendo,2014,Nintendo,4.35,3.49,3.1,0.74,11.68,Other
PS2,Sony,2004,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,Polyphony Digital
Wii,Nintendo,2007,Nintendo,6.06,3.35,1.2,0.74,11.35,Nintendo
GB,Nintendo,1992,Nintendo,6.16,2.04,2.69,0.29,11.18,Other
X360,Microsoft,2008,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,Rockstar North
PS,Sony,1997,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,Polyphony Digital
3DS,Nintendo,2011,Nintendo,4.89,3.0,2.14,0.78,10.81,Nintendo
PS3,Sony,2010,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,Polyphony Digital
PS3,Sony,2009,Activision,4.99,3.64,0.38,1.6,10.6,Infinity Ward
SNES,Nintendo,1993,Nintendo,5.99,2.15,2.12,0.29,10.55,Other
PS3,Sony,2008,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,Rockstar North
GBA,Nintendo,2004,Nintendo,4.34,2.65,3.15,0.35,10.49,Other
DS,Nintendo,2004,Nintendo,5.01,3.07,1.25,0.97,10.3,Other
X360,Microsoft,2013,Activision,6.73,2.56,0.04,0.91,10.25,Infinity Ward
Wii,Nintendo,2011,Ubisoft,5.95,3.11,0.0,1.06,10.12,Ubisoft
3DS,Nintendo,2012,Nintendo,3.66,3.14,2.47,0.63,9.9,Nintendo
N64,Nintendo,1996,Nintendo,5.55,1.94,2.23,0.15,9.87,Other
X360,Microsoft,2010,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,Bungie
PS,Sony,1997,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,SquareSoft
X360,Microsoft,2012,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,343 Industries
PS,Sony,1999,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,Polyphony Digital
Wii,Nintendo,2010,Ubisoft,5.8,2.85,0.01,0.78,9.44,Ubisoft
PS3,Sony,2013,Activision,4.1,3.63,0.38,1.25,9.36,Infinity Ward
X360,Microsoft,2007,Activision,5.93,2.36,0.13,0.9,9.31,Infinity Ward
SNES,Nintendo,1994,Nintendo,4.36,1.71,3.0,0.23,9.3,Other
X360,Microsoft,2013,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,Other
3DS,Nintendo,2012,Nintendo,2.03,2.36,4.39,0.39,9.16,Nintendo
DS,Nintendo,2007,Nintendo,4.4,1.85,1.98,0.68,8.91,Hudson Soft
X360,Microsoft,2011,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,Bethesda Game Studios
SNES,Nintendo,1992,Nintendo,3.54,1.24,3.81,0.18,8.76,Other
PS4,Sony,2015,Electronic Arts,1.12,6.12,0.06,1.28,8.57,EA Sports
XB,Microsoft,2004,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,Bungie Software
Wii,Nintendo,2010,Nintendo,1.75,3.47,2.49,0.67,8.38,Nd Cube
Wii,Nintendo,2007,Nintendo,3.74,2.24,1.58,0.7,8.27,Hudson
PS3,Sony,2012,Electronic Arts,1.06,5.01,0.13,1.97,8.16,Electronic Arts
N64,Nintendo,1997,Nintendo,5.8,2.01,0.13,0.15,8.09,Other
DS,Nintendo,2012,Nintendo,2.79,1.72,3.14,0.41,8.07,Other
PS2,Sony,2001,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,SquareSoft
PC,Microsoft,2009,Electronic Arts,0.99,6.42,0.0,0.6,8.01,The Sims Studio
Wii,Nintendo,2007,Sega,2.57,3.86,0.66,0.91,7.99,Other
PS4,Sony,2015,Electronic Arts,2.99,3.49,0.22,1.28,7.98,Other
PS,Sony,1999,SquareSoft,2.28,1.72,3.63,0.23,7.86,SquareSoft
2600,Other,1982,Atari,7.28,0.45,0.0,0.08,7.81,Other
DS,Nintendo,2008,Nintendo,2.76,1.72,2.69,0.54,7.72,Game Freak
PSP,Sony,2005,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,Rockstar Leeds
PS4,Sony,2014,Activision,2.81,3.48,0.14,1.23,7.66,Sledgehammer Games
N64,Nintendo,1998,Nintendo,4.1,1.89,1.45,0.16,7.6,Other
PS4,Sony,2016,Electronic Arts,0.66,5.75,0.08,1.11,7.59,"EA Sports, EA Vancouver"
PS,Sony,1997,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,Other
3DS,Nintendo,2014,Nintendo,3.27,1.37,2.43,0.48,7.55,Other
Wii,Nintendo,2010,Nintendo,3.56,2.35,0.98,0.62,7.51,Nintendo EAD Tokyo
NES,Nintendo,1988,Nintendo,5.39,1.18,0.7,0.19,7.46,Other
XOne,Microsoft,2015,Activision,4.59,2.11,0.01,0.68,7.39,Other
X360,Microsoft,2008,Activision,4.81,1.88,0.0,0.69,7.38,Treyarch
X360,Microsoft,2011,Electronic Arts,4.46,2.11,0.06,0.69,7.32,EA DICE
PS2,Sony,2003,Electronic Arts,3.27,2.83,0.08,1.02,7.2,EA Black Box
Wii,Nintendo,2009,Ubisoft,3.48,2.99,0.0,0.73,7.2,Ubisoft Paris
PS3,Sony,2011,Electronic Arts,2.85,2.89,0.35,1.08,7.17,EA DICE
PS4,Sony,2015,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,Bethesda Game Studios
PS,Sony,1998,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,Namco
Wii,Nintendo,2006,Nintendo,3.74,2.14,0.6,0.68,7.15,Nintendo
3DS,Nintendo,2016,Nintendo,2.98,1.45,2.26,0.45,7.14,Other
PS,Sony,1998,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,Naughty Dog
WiiU,Nintendo,2014,Nintendo,3.15,2.15,1.28,0.51,7.09,Nintendo
GC,Nintendo,2001,Nintendo,4.41,1.04,1.39,0.22,7.07,HAL Labs
GC,Nintendo,2003,Nintendo,4.12,1.77,0.87,0.19,6.95,Other
PS2,Sony,2004,Electronic Arts,2.71,3.02,0.08,1.09,6.9,EA Canada
PS2,Sony,2002,Electronic Arts,2.93,2.75,0.17,0.99,6.83,EA LA
PS,Sony,1996,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,Other
Wii,Nintendo,2012,Ubisoft,4.05,2.16,0.0,0.55,6.76,Ubisoft
X360,Microsoft,2008,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,Epic Games
PS3,Sony,2011,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,Naughty Dog
Wii,Nintendo,2010,505 Games,3.45,2.59,0.0,0.66,6.71,"Pipeworks Software, Inc."
PS3,Sony,2007,Activision,3.11,2.26,0.28,1.03,6.68,Infinity Ward
PS3,Sony,2009,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,Naughty Dog
PS3,Sony,2011,Electronic Arts,0.84,4.3,0.11,1.39,6.65,Other
DS,Nintendo,2005,Nintendo,1.66,2.75,1.6,0.62,6.62,Nintendo
NES,Nintendo,1986,Nintendo,3.74,0.93,1.69,0.14,6.51,Other
PS3,Sony,2010,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,Rockstar San Diego
PS3,Sony,2013,Electronic Arts,0.78,4.24,0.07,1.37,6.47,EA Canada
PS3,Sony,2012,Ubisoft,2.64,2.52,0.16,1.12,6.45,Ubisoft
Wii,Nintendo,2010,Nintendo,3.17,1.79,1.03,0.46,6.44,Retro Studios
XB,Microsoft,2001,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,Bungie Software
PS3,Sony,2011,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,Bethesda Game Studios
GBA,Nintendo,2004,Nintendo,2.57,1.58,2.06,0.21,6.41,Game Freak
PS2,Sony,2002,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,SquareSoft
GB,Nintendo,2000,Nintendo,2.55,1.56,1.29,0.99,6.39,Other
X360,Microsoft,2009,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,"Bungie Software, Bungie"
X360,Microsoft,2010,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,Rockstar San Diego
GC,Nintendo,2002,Nintendo,4.01,1.26,0.87,0.17,6.31,Nintendo
SNES,Nintendo,1992,Capcom,2.47,0.83,2.87,0.12,6.3,Other
PC,Microsoft,2004,Activision,0.08,6.21,0.0,0.0,6.29,Blizzard Entertainment
PS,Sony,1999,GT Interactive,3.11,2.8,0.02,0.33,6.27,Reflections Interactive
X360,Microsoft,2011,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,Epic Games
X360,Microsoft,2010,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,Rare Ltd.
X360,Microsoft,2006,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,Epic Games
PS4,Sony,2014,Electronic Arts,0.8,4.33,0.05,0.9,6.08,EA Sports
PS2,Sony,2001,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,KCEJ
GEN,Sega,1992,Sega,4.47,1.2,0.16,0.19,6.03,Other
PS,Sony,1998,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,KCEJ
PS3,Sony,2008,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,Kojima Productions
PS2,Sony,2006,Square Enix,1.88,0.0,2.33,1.74,5.95,Square Enix
PS3,Sony,2013,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,Naughty Dog
PS3,Sony,2008,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,"SCE/WWS, Media Molecule"
PS,Sony,1998,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,Capcom
DS,Nintendo,2009,Nintendo,0.63,0.67,4.35,0.15,5.78,Level 5
PS,Sony,1996,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,Namco
PS4,Sony,2014,Activision,2.49,2.07,0.16,0.92,5.64,"Bungie Software, Bungie"
Wii,Nintendo,2007,LucasArts,3.57,1.55,0.0,0.51,5.64,Traveller's Tales
DS,Nintendo,2006,505 Games,3.07,1.91,0.07,0.57,5.63,Taito Corporation
NES,Nintendo,1988,Nintendo,2.97,0.69,1.81,0.11,5.58,Other
N64,Nintendo,1999,Nintendo,2.95,0.6,1.97,0.04,5.55,Other
PS3,Sony,2009,Ubisoft,2.54,1.93,0.21,0.86,5.55,Ubisoft Montreal
X360,Microsoft,2007,Ubisoft,3.28,1.64,0.07,0.56,5.54,Ubisoft Montreal
X360,Microsoft,2009,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,Turn 10
GBA,Nintendo,2001,Nintendo,3.14,1.24,0.91,0.2,5.49,Nintendo
PSP,Sony,2008,Capcom,0.47,0.55,4.13,0.34,5.48,Capcom
PS3,Sony,2011,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,Rocksteady Studios
XOne,Microsoft,2014,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,Rockstar North
GBA,Nintendo,2001,Nintendo,2.62,1.64,0.99,0.23,5.47,Intelligent Systems
GBA,Nintendo,2001,Nintendo,3.21,1.11,0.95,0.2,5.46,Other
N64,Nintendo,1999,Nintendo,3.18,1.24,0.94,0.09,5.45,Other
PS2,Sony,2001,Universal Interactive,2.07,2.29,0.24,0.82,5.42,Traveller's Tales
PS3,Sony,2008,Activision,2.73,1.83,0.0,0.83,5.39,Treyarch
PS4,Sony,2016,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,Naughty Dog
GB,Nintendo,1989,Nintendo,2.18,0.96,2.0,0.2,5.34,Other
PS3,Sony,2009,Square Enix,1.74,1.21,1.87,0.51,5.33,Square Enix
GB,Nintendo,1999,Nintendo,3.02,1.12,1.01,0.16,5.31,Other
PS,Sony,2000,SquareSoft,1.62,0.77,2.78,0.14,5.3,SquareSoft
X360,Microsoft,2012,Ubisoft,3.13,1.69,0.03,0.44,5.29,Ubisoft
PS2,Sony,2003,Electronic Arts,1.92,1.08,2.11,0.17,5.29,SquareSoft
N64,Nintendo,1999,Nintendo,3.33,0.79,1.09,0.06,5.27,Other
XOne,Microsoft,2014,Activision,3.22,1.55,0.01,0.48,5.27,Sledgehammer Games
PS3,Sony,2014,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,Other
X360,Microsoft,2009,Ubisoft,3.11,1.55,0.08,0.51,5.26,Ubisoft Montreal
PS,Sony,1997,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,Core Design Ltd.
3DS,Nintendo,2013,Nintendo,0.97,2.11,1.9,0.24,5.23,Other
WiiU,Nintendo,2012,Nintendo,2.3,1.34,1.27,0.32,5.22,Nintendo
PS2,Sony,2004,Square Enix,0.65,0.75,3.61,0.2,5.21,Level 5
GBA,Nintendo,2003,Nintendo,2.93,1.25,0.83,0.2,5.2,Other
DS,Nintendo,2007,Nintendo,1.21,2.43,1.03,0.52,5.19,Level 5
GB,Nintendo,1994,Nintendo,2.49,0.98,1.57,0.15,5.19,Other
X360,Microsoft,2012,Electronic Arts,1.09,3.47,0.03,0.57,5.16,Electronic Arts
SNES,Nintendo,1995,Nintendo,2.1,0.74,2.2,0.11,5.15,Other
PC,Microsoft,2012,Activision,2.44,2.16,0.0,0.54,5.14,Blizzard Entertainment
PS2,Sony,2003,Electronic Arts,1.98,2.23,0.13,0.8,5.13,EA LA
GB,Nintendo,1992,Nintendo,2.71,0.61,1.7,0.11,5.13,Other
PC,Microsoft,1996,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Other
PS2,Sony,2006,RedOctane,3.81,0.63,0.0,0.68,5.12,Harmonix Music Systems
X360,Microsoft,2010,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,Lionhead Studios
DS,Nintendo,2008,Sega,1.63,2.45,0.44,0.57,5.09,Other
PS3,Sony,2009,Capcom,1.96,1.41,1.08,0.64,5.09,Capcom
DS,Nintendo,2007,Nintendo,1.85,1.8,0.95,0.48,5.08,Nintendo
GB,Nintendo,1999,Nintendo,3.4,1.3,0.15,0.22,5.07,Other
PS3,Sony,2010,Electronic Arts,0.61,3.28,0.06,1.12,5.07,EA Sports
PS,Sony,1996,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,Capcom
PSP,Sony,2006,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,Rockstar Leeds
PS,Sony,1999,Activision,3.42,1.38,0.02,0.2,5.02,Neversoft Entertainment
PS,Sony,1999,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,Other
PS,Sony,1998,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,Other
PS2,Sony,2007,Activision,3.49,0.01,0.01,1.48,4.98,"Neversoft Entertainment, BudCat"
Wii,Nintendo,2007,Nintendo,3.05,1.17,0.29,0.46,4.98,Nintendo
DS,Nintendo,2007,Nintendo,1.83,1.19,1.54,0.37,4.93,Other
X360,Microsoft,2008,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,Bethesda Game Studios
PS3,Sony,2007,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,"Naughty Dog, SCE/WWS"
PS2,Sony,2005,Electronic Arts,3.98,0.26,0.01,0.66,4.91,EA Sports
N64,Nintendo,1997,Nintendo,2.91,0.99,0.89,0.1,4.88,Other
PSP,Sony,2010,Capcom,0.0,0.0,4.87,0.0,4.87,Other
WiiU,Nintendo,2014,Nintendo,2.6,1.08,0.81,0.38,4.87,Other
NES,Nintendo,1990,Nintendo,2.62,0.6,1.52,0.1,4.85,Other
PC,Microsoft,2010,Activision,2.57,1.68,0.0,0.58,4.84,Blizzard Entertainment
PS3,Sony,2007,Ubisoft,1.91,2.0,0.09,0.82,4.82,Ubisoft Montreal
PS3,Sony,2010,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,SCE Santa Monica
PS,Sony,1999,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,Naughty Dog
DS,Nintendo,2007,LucasArts,2.83,1.48,0.0,0.45,4.76,TT Fusion
PS,Sony,2000,Atari,2.36,2.1,0.02,0.25,4.73,Reflections Interactive
X360,Microsoft,2011,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,Rocksteady Studios
PS4,Sony,2014,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.71,Other
PS2,Sony,2003,Vivendi Games,1.73,2.19,0.0,0.79,4.7,Other
PS,Sony,2000,Activision,3.05,1.41,0.02,0.2,4.68,Neversoft Entertainment
PS2,Sony,2002,Electronic Arts,1.94,1.95,0.08,0.7,4.67,Stormfront Studios
PS,Sony,1996,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,Core Design Ltd.
Wii,Nintendo,2008,Nintendo,1.82,1.12,1.32,0.36,4.62,Nintendo
PS4,Sony,2015,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,Bluepoint Games
SNES,Nintendo,1991,Nintendo,2.42,0.91,1.15,0.13,4.61,Other
GC,Nintendo,2002,Nintendo,2.6,0.99,0.89,0.13,4.6,Nintendo
Wii,Nintendo,2007,Activision,3.04,1.11,0.0,0.43,4.6,Vicarious Visions
3DS,Nintendo,2013,Nintendo,1.8,1.39,1.11,0.29,4.59,Next Level Games
X360,Microsoft,2011,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,Turn 10
Wii,Nintendo,2009,Sega,1.87,1.96,0.22,0.48,4.53,Other
PS2,Sony,2004,Electronic Arts,4.18,0.26,0.01,0.08,4.53,EA Tiburon
X360,Microsoft,2007,Activision,3.19,0.91,0.01,0.42,4.53,Neversoft Entertainment
2600,Other,1981,Activision,4.21,0.24,0.0,0.05,4.5,Other
PS2,Sony,2006,Electronic Arts,3.63,0.24,0.01,0.61,4.49,EA Sports
XOne,Microsoft,2015,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,343 Industries
PS2,Sony,2002,Activision,2.71,1.51,0.03,0.23,4.48,Treyarch
PS,Sony,2000,Enix Corporation,0.2,0.14,4.1,0.02,4.47,Other
PS4,Sony,2016,Activision,1.61,2.0,0.15,0.71,4.46,Infinity Ward
PS2,Sony,2005,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,SCE Santa Monica
WiiU,Nintendo,2015,Nintendo,1.54,1.18,1.46,0.26,4.43,Nintendo
WiiU,Nintendo,2012,Nintendo,2.52,1.11,0.46,0.33,4.42,Nintendo
PS2,Sony,2001,Activision,2.66,1.29,0.01,0.46,4.41,Neversoft Entertainment
PS2,Sony,2006,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,Konami
X360,Microsoft,2006,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,Bethesda Softworks
NES,Nintendo,1987,Nintendo,2.19,0.5,1.61,0.08,4.38,Other
PS2,Sony,2005,Electronic Arts,2.03,1.79,0.08,0.47,4.37,EA Canada
Wii,Nintendo,2010,Ubisoft,2.64,1.33,0.01,0.39,4.36,"Ubisoft Paris, Ubisoft Montpellier"
PS3,Sony,2014,Activision,1.56,1.93,0.19,0.68,4.36,High Moon Studios
PS3,Sony,2006,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,Insomniac Games
GEN,Sega,1991,Sega,3.03,0.91,0.26,0.13,4.34,Other
PS2,Sony,2005,Square Enix,2.2,0.58,1.38,0.17,4.33,Square Enix
3DS,Nintendo,2011,Nintendo,2.09,1.31,0.62,0.31,4.33,Other
WiiU,Nintendo,2013,Nintendo,2.11,1.16,0.73,0.32,4.32,Nintendo
PS4,Sony,2014,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,Other
2600,Other,1980,Atari,4.0,0.26,0.0,0.05,4.31,Other
X360,Microsoft,2014,Activision,2.77,1.11,0.0,0.4,4.29,High Moon Studios
PS3,Sony,2014,Electronic Arts,0.58,3.02,0.04,0.64,4.28,EA Sports
X360,Microsoft,2008,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,Lionhead Studios
GBA,Nintendo,2001,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,Mass Media
PS3,Sony,2009,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,Rocksteady Studios
PS2,Sony,2004,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,KCEJ
PS3,Sony,2011,Ubisoft,1.41,2.01,0.1,0.7,4.22,Ubisoft Montreal
XOne,Microsoft,2015,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,Bethesda Game Studios
X360,Microsoft,2013,Electronic Arts,0.92,2.89,0.01,0.4,4.22,EA Canada
PSP,Sony,2006,Sony Computer Entertainment,2.45,1.01,0.0,0.75,4.21,Ready at Dawn
PC,Microsoft,1995,Activision,1.7,2.27,0.0,0.23,4.21,Other
PS2,Sony,2005,Electronic Arts,0.78,2.55,0.04,0.84,4.21,EA Canada
PS2,Sony,2003,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,"SCEE, Zoe Mode"
PS3,Sony,2007,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,Polyphony Digital
X360,Microsoft,2011,Ubisoft,2.25,1.47,0.04,0.43,4.19,Ubisoft Montreal
X360,Microsoft,2011,Electronic Arts,0.84,2.78,0.02,0.53,4.18,Other
NES,Nintendo,1989,Palcom,3.38,0.44,0.31,0.04,4.17,Other
PS3,Sony,2009,Capcom,2.03,1.04,0.58,0.52,4.16,Capcom
NES,Nintendo,1984,Nintendo,2.04,0.48,1.57,0.07,4.16,Other
PS,Sony,1997,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16,Other
PS2,Sony,2002,Electronic Arts,3.36,0.21,0.01,0.56,4.14,EA Sports
PC,Microsoft,1997,Vivendi Games,4.03,0.0,0.09,0.0,4.12,Valve Software
SNES,Nintendo,1995,Nintendo,1.65,0.61,1.76,0.09,4.12,Other
PS2,Sony,2006,Electronic Arts,0.71,2.48,0.03,0.89,4.11,Other
SNES,Nintendo,1992,Capcom,1.42,0.51,2.1,0.07,4.1,Other
PC,Microsoft,2007,Activision,2.57,1.52,0.0,0.0,4.09,Blizzard Entertainment
PS4,Sony,2016,Electronic Arts,1.1,2.15,0.21,0.61,4.08,EA DICE
PS2,Sony,2007,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,SCE Santa Monica
PS2,Sony,2005,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,Konami
X360,Microsoft,2010,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,Obsidian Entertainment
X360,Microsoft,2007,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05,Turn 10
Wii,Nintendo,2007,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,Cat Daddy Games
PS4,Sony,2014,Ubisoft,1.4,1.9,0.11,0.64,4.05,Ubisoft Montreal
PS,Sony,1996,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05,Other
PS2,Sony,2000,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,Namco
PS4,Sony,2014,Ubisoft,1.13,2.18,0.1,0.63,4.04,Ubisoft Montreal
N64,Nintendo,1997,Nintendo,2.78,0.58,0.64,0.04,4.03,Other
NES,Nintendo,1984,Nintendo,1.22,0.28,2.46,0.04,4.01,Other
PS2,Sony,2005,Namco Bandai Games,2.08,1.35,0.0,0.54,3.98,Digital Eclipse
X360,Microsoft,2009,Electronic Arts,2.67,0.87,0.05,0.38,3.97,Valve Software
PS4,Sony,2015,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,CD Projekt Red Studio
PS4,Sony,2014,Ubisoft,1.19,2.07,0.08,0.62,3.96,"Ubisoft, Ubisoft Montreal"
